Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Step Count
2024-12-08,Evening Workout,46m,Squat (Barbell),1,215.0,4.0,9853
2024-12-08,Evening Workout,46m,Squat (Barbell),2,195.0,5.0,9853
2024-12-08,Evening Workout,46m,Squat (Barbell),3,185.00000000000003,4.0,9853
2024-12-08,Evening Workout,46m,Seated Leg Press (Machine),1,210.0,8.0,9853
2024-12-08,Evening Workout,46m,Seated Leg Press (Machine),2,210.0,9.0,9853
2024-12-08,Evening Workout,46m,Seated Leg Press (Machine),3,210.0,5.0,9853
2024-12-08,Evening Workout,46m,Seated Leg Curl (Machine),1,115.0,9.0,9853
2024-12-08,Evening Workout,46m,Seated Leg Curl (Machine),2,115.0,4.0,9853
2024-12-08,Evening Workout,46m,Seated Leg Curl (Machine),3,90.0,6.0,9853
2024-12-08,Evening Workout,46m,Standing Calf Raise (Smith Machine),1,160.0,15.0,9853
2024-12-09,Evening Workout,1h 19m,Bench Press (Barbell),1,155.0,8.0,7922
2024-12-09,Evening Workout,1h 19m,Bench Press (Barbell),2,145.0,7.0,7922
2024-12-09,Evening Workout,1h 19m,Bench Press (Barbell),3,135.0,7.0,7922
2024-12-09,Evening Workout,1h 19m,Incline Bench Press (Barbell),1,115.0,6.0,7922
